Date,Open,High,Low,Close,Volume,Adj Close
2014-02-07,1167.63,1177.90,1160.56,1177.44,2636200,1177.44
2014-02-06,1151.13,1160.16,1147.55,1159.96,1946600,1159.96
2014-02-05,1143.38,1150.77,1128.02,1143.20,2394500,1143.20
2014-02-04,1137.99,1155.00,1137.01,1138.16,2811900,1138.16
2014-02-03,1179.20,1181.72,1132.01,1133.43,4569100,1133.43
2014-01-31,1171.35,1186.54,1151.13,1180.97,5566300,1180.97
2014-01-30,1145.00,1152.49,1127.25,1135.39,5091400,1135.39
2014-01-29,1119.12,1121.75,1099.42,1106.92,2379900,1106.92
2014-01-28,1110.32,1125.75,1109.94,1123.01,2210200,1123.01
2014-01-27,1126.10,1126.50,1082.27,1101.23,4353600,1101.23
2014-01-24,1151.01,1153.55,1123.00,1123.83,3892500,1123.83
2014-01-23,1160.00,1162.49,1154.37,1160.10,1949100,1160.10
2014-01-22,1166.61,1167.89,1158.86,1165.02,1571400,1165.02
2014-01-21,1160.93,1164.00,1151.30,1163.70,1979900,1163.70
2014-01-17,1156.85,1160.63,1144.20,1150.53,2701300,1150.53
2014-01-16,1149.10,1157.93,1148.00,1156.22,1683900,1156.22
2014-01-15,1152.99,1155.00,1143.79,1148.62,1950200,1148.62
2014-01-14,1137.95,1151.00,1128.09,1149.40,2482600,1149.40
2014-01-13,1126.47,1146.91,1117.17,1122.98,2418900,1122.98
2014-01-10,1139.08,1139.08,1122.25,1130.18,2143500,1130.18
2014-01-09,1143.44,1144.22,1125.56,1130.24,2084500,1130.24
2014-01-08,1146.00,1147.32,1133.29,1141.23,2242500,1141.23
2014-01-07,1125.00,1139.69,1121.16,1138.86,2552600,1138.86
2014-01-06,1113.01,1118.86,1106.44,1117.32,1769300,1117.32
2014-01-03,1115.00,1116.93,1104.93,1105.00,1666700,1105.00
2014-01-02,1115.46,1117.75,1108.26,1113.12,1821400,1113.12
2013-12-31,1112.24,1121.00,1106.26,1120.71,1357900,1120.71
2013-12-30,1120.34,1120.50,1109.02,1109.46,1236100,1109.46
2013-12-27,1120.00,1120.28,1112.94,1118.40,1569700,1118.40
2013-12-26,1114.01,1119.00,1108.69,1117.46,1337800,1117.46
2013-12-24,1114.97,1115.24,1108.10,1111.84,734200,1111.84
2013-12-23,1107.84,1115.80,1105.12,1115.10,1721600,1115.10
2013-12-20,1088.30,1101.17,1088.00,1100.62,3261600,1100.62
2013-12-19,1080.77,1091.99,1079.08,1086.22,1665700,1086.22
2013-12-18,1071.85,1084.95,1059.04,1084.75,2210300,1084.75
2013-12-17,1072.82,1080.76,1068.38,1069.86,1535700,1069.86
2013-12-16,1064.00,1074.69,1062.01,1072.98,1602000,1072.98
2013-12-13,1075.40,1076.29,1057.89,1060.79,2162400,1060.79
2013-12-12,1079.57,1082.94,1069.00,1069.96,1596500,1069.96
2013-12-11,1087.40,1091.32,1075.17,1077.29,1711800,1077.29
2013-12-10,1076.15,1092.31,1075.65,1084.66,1853900,1084.66
2013-12-09,1070.99,1082.31,1068.02,1078.14,1482600,1078.14
2013-12-06,1069.79,1070.00,1060.08,1069.87,1428800,1069.87
2013-12-05,1057.20,1059.66,1051.09,1057.34,1133700,1057.34
2013-12-04,1051.37,1063.98,1050.00,1058.18,1191600,1058.18
2013-12-03,1050.95,1063.44,1049.02,1053.26,1676100,1053.26
2013-12-02,1063.51,1066.35,1050.76,1054.48,1373200,1054.48
2013-11-29,1062.16,1066.62,1059.45,1059.59,1192800,1059.59
2013-11-27,1062.03,1068.00,1060.00,1063.11,1123600,1063.11
2013-11-26,1048.60,1061.50,1042.94,1058.41,2286300,1058.41
2013-11-25,1037.16,1053.19,1035.02,1045.93,1613000,1045.93
2013-11-22,1033.42,1036.17,1029.22,1031.89,1254200,1031.89
2013-11-21,1027.00,1038.31,1026.00,1034.07,1091800,1034.07
2013-11-20,1029.95,1033.36,1020.36,1022.31,963700,1022.31
2013-11-19,1031.72,1034.75,1023.05,1025.20,1131600,1025.20
2013-11-18,1035.75,1048.74,1029.24,1031.55,1759700,1031.55
2013-11-15,1034.87,1038.00,1030.31,1033.56,1276300,1033.56
2013-11-14,1033.92,1039.75,1030.35,1035.23,1166700,1035.23
2013-11-13,1006.75,1032.85,1006.50,1032.47,1579400,1032.47
2013-11-12,1007.70,1017.56,1005.00,1011.78,1218100,1011.78
2013-11-11,1009.51,1015.93,1008.00,1010.59,1112600,1010.59
2013-11-08,1008.75,1018.50,1008.50,1016.03,1290800,1016.03
2013-11-07,1022.61,1023.93,1007.64,1007.95,1679600,1007.95
2013-11-06,1025.60,1027.00,1015.37,1022.75,912900,1022.75
2013-11-05,1020.35,1031.65,1017.42,1021.52,1181400,1021.52
2013-11-04,1031.50,1032.37,1022.03,1026.11,1138800,1026.11
2013-11-01,1031.79,1036.00,1025.10,1027.04,1283300,1027.04
2013-10-31,1028.93,1041.52,1023.97,1030.58,1640000,1030.58
2013-10-30,1037.43,1037.51,1026.00,1030.42,1324100,1030.42
2013-10-29,1019.10,1036.94,1013.50,1036.24,1605000,1036.24
2013-10-28,1015.20,1023.43,1012.99,1015.00,1158700,1015.00
2013-10-25,1028.82,1028.82,1010.74,1015.20,2030500,1015.20
2013-10-24,1031.87,1040.57,1024.80,1025.55,2092100,1025.55
2013-10-23,1001.00,1034.75,1000.63,1031.41,2663200,1031.41
2013-10-22,1005.00,1013.00,995.79,1007.00,2208600,1007.00
2013-10-21,1011.46,1019.00,999.55,1003.30,3628300,1003.30
2013-10-18,976.58,1015.46,974.00,1011.41,11566400,1011.41
2013-10-17,892.99,896.90,885.73,888.79,4256600,888.79
2013-10-16,885.87,898.33,884.01,898.03,2007600,898.03
2013-10-15,875.76,885.63,874.00,882.01,1591900,882.01
2013-10-14,866.66,876.25,865.39,876.11,1243600,876.11
